 T01057;27/12/2023;08:00:03;392718
 T01057;27/12/2023;17:09:30;393146
 T01057;28/12/2023;08:04:10;393589
 T01057;28/12/2023;17:01:01;393918
T00054;27/12/2023;08:34:19;392735
T00054;27/12/2023;16:45:00;393094
T00054;27/12/2023;17:36:22;393155
T00054;28/12/2023;06:58:05;393554
T00054;28/12/2023;12:43:54;393618
T00147;27/12/2023;07:32:32;392704
T00147;27/12/2023;17:12:52;393149
T00147;28/12/2023;07:57:40;393577
T00147;28/12/2023;07:57:41;393578
T00147;28/12/2023;19:27:32;393996
T00172;27/12/2023;06:57:22;392695
T00172;27/12/2023;17:06:24;393139
T00172;28/12/2023;06:47:55;393535
T00172;28/12/2023;17:13:27;393936
T00172;28/12/2023;17:13:28;393937
T00183;27/12/2023;05:42:45;392441
T00183;27/12/2023;17:51:40;393184
T00183;28/12/2023;05:07:27;393289
T00183;28/12/2023;18:04:19;393979
T00222;27/12/2023;08:20:49;392732
T00222;27/12/2023;18:08:16;393193
T00222;28/12/2023;08:01:04;393586
T00222;28/12/2023;19:04:06;393992
T00252;27/12/2023;08:03:46;392721
T00252;27/12/2023;17:38:06;393158
T00252;28/12/2023;08:00:58;393582
T00252;28/12/2023;17:26:26;393944
T00253;27/12/2023;06:57:51;392698
T00253;27/12/2023;16:00:43;393068
T00253;28/12/2023;06:59:01;393557
T00253;28/12/2023;16:03:04;393873
T00266;27/12/2023;06:20:30;392495
T00266;27/12/2023;15:43:21;392937
T00266;28/12/2023;06:24:56;393351
T00266;28/12/2023;15:45:04;393804
T00386;27/12/2023;05:59:33;392453
T00386;28/12/2023;06:02:36;393305
T00386;28/12/2023;11:31:30;393607
T00390;27/12/2023;06:20:15;392492
T00390;27/12/2023;16:39:55;393088
T00390;28/12/2023;06:24:18;393347
T00390;28/12/2023;16:33:32;393891
T00452;27/12/2023;06:43:05;392650
T00452;27/12/2023;15:51:07;393029
T00452;28/12/2023;06:37:15;393437
T00452;28/12/2023;15:47:28;393834
T00455;27/12/2023;06:32:36;392562
T00455;27/12/2023;15:46:03;392999
T00455;28/12/2023;06:26:39;393355
T00455;28/12/2023;15:43:59;393782
T00468;27/12/2023;06:27:45;392527
T00468;27/12/2023;15:42:32;392916
T00468;28/12/2023;06:34:05;393412
T00468;28/12/2023;15:42:34;393746
T00470;27/12/2023;06:47:15;392681
T00470;27/12/2023;06:47:16;392682
T00470;27/12/2023;14:33:37;392782
T00470;28/12/2023;06:43:05;393494
T00470;28/12/2023;14:32:26;393634
T00470;28/12/2023;14:32:27;393635
T00478;27/12/2023;06:16:47;392486
T00478;27/12/2023;15:43:59;392953
T00478;28/12/2023;06:21:18;393337
T00478;28/12/2023;15:44:30;393794
T00484;27/12/2023;06:37:12;392597
T00484;27/12/2023;17:27:11;393152
T00484;28/12/2023;06:58:01;393553
T00484;28/12/2023;18:04:35;393982
T00492;27/12/2023;06:38:54;392610
T00492;28/12/2023;06:45:29;393524
T00492;28/12/2023;15:45:33;393812
T00497;27/12/2023;07:47:05;392712
T00497;27/12/2023;16:35:40;393082
T00497;28/12/2023;16:31:38;393885
T00501;27/12/2023;06:17:54;392489
T00501;27/12/2023;17:43:38;393166
T00501;28/12/2023;06:15:28;393315
T00501;28/12/2023;17:43:34;393953
T00529;27/12/2023;06:33:50;392575
T00529;28/12/2023;06:36:06;393432
T00529;28/12/2023;17:43:37;393954
T00534;27/12/2023;06:43:23;392657
T00534;27/12/2023;15:58:51;393062
T00534;28/12/2023;06:45:20;393520
T00534;28/12/2023;15:52:24;393859
T00534;28/12/2023;15:52:25;393860
T00539;27/12/2023;06:22:50;392507
T00539;27/12/2023;15:42:25;392913
T00539;28/12/2023;06:39:01;393455
T00539;28/12/2023;15:42:37;393747
T00540;27/12/2023;06:37:39;392604
T00540;27/12/2023;06:39:15;392613
T00540;27/12/2023;15:46:12;393002
T00540;28/12/2023;06:37:10;393436
T00540;28/12/2023;15:45:11;393806
T00546;27/12/2023;06:50:52;392685
T00546;27/12/2023;15:42:16;392909
T00546;28/12/2023;06:39:56;393465
T00557;27/12/2023;05:43:08;392444
T00557;27/12/2023;15:47:00;393011
T00557;28/12/2023;05:53:02;393295
T00557;28/12/2023;15:48:40;393840
T00557;28/12/2023;15:49:18;393847
T00559;27/12/2023;06:50:56;392686
T00559;27/12/2023;15:42:18;392910
T00559;28/12/2023;06:40:01;393468
T00559;28/12/2023;15:42:39;393748
T00561;27/12/2023;06:35:51;392591
T00561;27/12/2023;17:44:06;393169
T00561;28/12/2023;06:29:05;393371
T00561;28/12/2023;17:45:34;393961
T00567;27/12/2023;06:42:15;392643
T00567;27/12/2023;15:43:24;392938
T00567;28/12/2023;06:39:11;393458
T00567;28/12/2023;15:44:15;393789
T00590;27/12/2023;06:40:33;392632
T00590;27/12/2023;15:43:48;392949
T00590;28/12/2023;06:52:30;393544
T00590;28/12/2023;15:43:05;393762
T00596;27/12/2023;06:20:53;392498
T00596;27/12/2023;15:42:58;392928
T00597;28/12/2023;06:27:20;393362
T00597;28/12/2023;15:44:17;393790
T00606;27/12/2023;06:46:37;392677
T00606;27/12/2023;06:46:38;392678
T00606;28/12/2023;06:48:13;393538
T00606;28/12/2023;15:43:19;393767
T00613;27/12/2023;06:22:53;392508
T00613;27/12/2023;15:42:28;392914
T00613;28/12/2023;06:33:19;393402
T00613;28/12/2023;15:42:31;393745
T00615;27/12/2023;06:31:56;392551
T00615;27/12/2023;15:45:28;392986
T00615;28/12/2023;06:31:49;393388
T00615;28/12/2023;15:45:01;393802
T00628;27/12/2023;06:37:26;392601
T00628;27/12/2023;17:43:18;393161
T00630;27/12/2023;06:34:19;392584
T00630;27/12/2023;15:42:30;392915
T00630;28/12/2023;06:39:28;393462
T00630;28/12/2023;15:42:48;393755
T00641;27/12/2023;06:29:56;392536
T00641;27/12/2023;15:43:56;392952
T00641;28/12/2023;06:27:26;393364
T00641;28/12/2023;15:43:52;393779
T00647;27/12/2023;06:15:22;392478
T00647;27/12/2023;17:44:10;393170
T00647;28/12/2023;06:16:36;393324
T00647;28/12/2023;17:48:09;393970
T00655;27/12/2023;06:22:08;392504
T00655;27/12/2023;15:42:23;392912
T00655;28/12/2023;06:28:39;393367
T00655;28/12/2023;15:43:00;393760
T00674;27/12/2023;06:32:27;392558
T00674;27/12/2023;14:33:43;392785
T00674;28/12/2023;06:43:43;393497
T00674;28/12/2023;14:32:01;393631
T00698;27/12/2023;06:34:13;392581
T00698;27/12/2023;15:43:46;392947
T00698;28/12/2023;06:32:16;393392
T00698;28/12/2023;15:44:05;393785
T00709;27/12/2023;06:12:19;392475
T00709;27/12/2023;16:39:36;393085
T00709;28/12/2023;06:01:35;393301
T00709;28/12/2023;16:32:56;393888
T00721;28/12/2023;11:59:08;393614
T00721;28/12/2023;15:43:16;393766
T00722;27/12/2023;06:40:04;392628
T00722;27/12/2023;15:43:50;392950
T00722;28/12/2023;06:32:40;393396
T00722;28/12/2023;15:45:26;393809
