 T01057;07/01/2025;08:11:29
T 01411;07/01/2025;06:56:55
T00009;07/01/2025;06:12:23
T00075;07/01/2025;07:05:30
T00183;07/01/2025;05:25:11
T00222;07/01/2025;07:49:38
T00252;07/01/2025;08:08:44
T00253;07/01/2025;06:52:00
T00390;07/01/2025;06:00:39
T00391;07/01/2025;07:11:03
T00455;07/01/2025;06:31:53
T00484;07/01/2025;07:21:39
T00486;07/01/2025;06:43:50
T00487;07/01/2025;06:50:25
T00492;07/01/2025;06:23:58
T00501;07/01/2025;06:37:46
T00532;07/01/2025;06:50:37
T00534;07/01/2025;06:54:37
T00552;07/01/2025;16:54:33
T00557;07/01/2025;06:00:09
T00590;07/01/2025;06:45:58
T00597;07/01/2025;06:38:55
T00613;07/01/2025;06:31:44
T00649;07/01/2025;06:07:58
T00709;07/01/2025;06:07:55
T00723;07/01/2025;06:57:34
T00727;07/01/2025;08:06:09
T00729;07/01/2025;07:14:34
T00787;07/01/2025;06:41:25
T00822;07/01/2025;06:57:02
T00823;07/01/2025;06:57:13
T00832;07/01/2025;06:50:32
T00851;07/01/2025;06:19:38
T00864;07/01/2025;06:38:41
T00867;07/01/2025;06:37:48
T00867;07/01/2025;06:38:20
T00898;07/01/2025;06:29:19
T00936;07/01/2025;06:43:14
T00947;07/01/2025;06:50:04
T00976;07/01/2025;06:27:45
T00978;07/01/2025;06:32:07
T01089;07/01/2025;07:27:44
T01090;07/01/2025;06:42:33
T01093;07/01/2025;07:53:25
T01120;07/01/2025;06:45:15
T01134;07/01/2025;06:42:08
T01135;07/01/2025;07:04:17
T01155;07/01/2025;06:28:18
T01196;07/01/2025;17:35:30
T01231;07/01/2025;06:43:56
T01386;07/01/2025;06:54:14
T01409;07/01/2025;08:06:16
T01410;07/01/2025;06:12:28
T01412;07/01/2025;11:30:40
