T00552;01/10/2024;05:14:40
T01196;01/10/2024;05:22:31
T01122;01/10/2024;10:52:51
T01120;01/10/2024;13:03:51
T01095;01/10/2024;13:04:10
T01095;01/10/2024;13:04:12
T00766;01/10/2024;14:04:16
T00896;01/10/2024;14:30:48
T00721;01/10/2024;14:31:17
T00492;01/10/2024;14:31:22
T01041;01/10/2024;14:33:16
T00854;01/10/2024;14:37:26
T00534;01/10/2024;14:38:51
T00501;01/10/2024;15:06:18
T00864;01/10/2024;15:06:40
T00904;01/10/2024;15:06:43
T00452;01/10/2024;15:06:47
T00976;01/10/2024;15:09:00
T00386;01/10/2024;15:13:14
T00253;01/10/2024;15:19:00
T00253;01/10/2024;15:21:50
T00557;01/10/2024;16:31:55
T00797;01/10/2024;15:43:58
T00597;01/10/2024;15:44:29
T00723;01/10/2024;15:44:31
T00546;01/10/2024;15:44:55
T01076;01/10/2024;15:44:58
T00733;01/10/2024;15:44:59
T01040;01/10/2024;15:45:02
T01112;01/10/2024;15:45:07
T01182;01/10/2024;15:45:08
T01025;01/10/2024;15:45:11
T01223;01/10/2024;15:45:14
T01177;01/10/2024;15:45:16
T00889;01/10/2024;15:45:19
T00539;01/10/2024;15:45:22
T01111;01/10/2024;15:45:25
T00969;01/10/2024;15:45:29
T01149;01/10/2024;15:45:33
T01221;01/10/2024;15:45:37
T01047;01/10/2024;15:45:40
T00590;01/10/2024;15:45:42
T00468;01/10/2024;15:45:46
T00894;01/10/2024;15:45:48
T00978;01/10/2024;15:45:50
T01069;01/10/2024;15:45:52
T01219;01/10/2024;15:45:55
T00898;01/10/2024;15:45:57
T00911;01/10/2024;15:45:59
T00947;01/10/2024;15:46:02
T01128;01/10/2024;15:46:06
T00931;01/10/2024;15:46:09
T00647;01/10/2024;15:46:14
T00927;01/10/2024;15:46:16
T00628;01/10/2024;15:46:19
T00875;01/10/2024;15:46:23
T00917;01/10/2024;15:46:26
T01155;01/10/2024;15:46:27
T00478;01/10/2024;15:46:32
T00653;01/10/2024;15:46:35
T01030;01/10/2024;15:46:39
T01030;01/10/2024;15:46:40
T01015;01/10/2024;15:46:42
T00630;01/10/2024;15:46:45
T00567;01/10/2024;15:46:47
T01235;01/10/2024;15:46:52
T00918;01/10/2024;15:46:57
T00808;01/10/2024;15:46:59
T01130;01/10/2024;15:47:02
T01026;01/10/2024;15:47:05
T00944;01/10/2024;15:47:07
T01019;01/10/2024;15:47:10
T00615;01/10/2024;15:47:12
T01042;01/10/2024;15:47:14
T00606;01/10/2024;15:47:17
T00559;01/10/2024;15:47:19
T01100;01/10/2024;15:47:24
T01070;01/10/2024;15:47:26
T00655;01/10/2024;15:47:29
T00596;01/10/2024;15:47:37
T01107;01/10/2024;15:47:41
T01115;01/10/2024;15:47:42
T01115;01/10/2024;15:47:44
T01018;01/10/2024;15:47:47
T00851;01/10/2024;15:47:50
T00966;01/10/2024;15:47:54
T01145;01/10/2024;15:47:56
T00881;01/10/2024;15:47:58
T00266;01/10/2024;15:48:00
T01023;01/10/2024;15:48:03
T00602;01/10/2024;15:48:04
T01039;01/10/2024;15:48:09
T00945;01/10/2024;15:48:14
T00963;01/10/2024;15:48:16
T01142;01/10/2024;15:48:19
T00455;01/10/2024;15:48:21
T01097;01/10/2024;15:48:23
T01132;01/10/2024;15:48:26
T01113;01/10/2024;15:48:28
T00802;01/10/2024;15:48:30
T01234;01/10/2024;15:48:33
T00897;01/10/2024;15:48:35
T00529;01/10/2024;15:48:40
T01121;01/10/2024;15:48:42
T00649;01/10/2024;15:48:44
T01152;01/10/2024;15:48:47
T00561;01/10/2024;15:48:50
T00912;01/10/2024;15:48:53
T00970;01/10/2024;15:48:57
T00785;01/10/2024;15:49:01
T00936;01/10/2024;15:49:03
T01224;01/10/2024;15:49:06
T01220;01/10/2024;15:49:13
T00779;01/10/2024;15:49:16
T00641;01/10/2024;15:49:21
T00540;01/10/2024;15:49:24
T00487;01/10/2024;15:49:28
T00822;01/10/2024;15:49:30
T01099;01/10/2024;15:49:33
T00508;01/10/2024;15:49:36
T01134;01/10/2024;15:49:39
T00613;01/10/2024;15:49:42
T00787;01/10/2024;15:50:23
T00726;01/10/2024;15:50:40
T00832;01/10/2024;15:50:42
T00823;01/10/2024;15:50:46
T01135;01/10/2024;15:51:49
T01047;01/10/2024;15:55:32
T01089;01/10/2024;14:36:41
T00867;01/10/2024;15:59:02
T00867;01/10/2024;15:59:15
T01231;01/10/2024;16:02:54
T01090;01/10/2024;16:07:23
T00486;01/10/2024;16:07:50
T01408;01/10/2024;16:11:30
T01409;01/10/2024;16:11:34
T00009;01/10/2024;16:12:35
T01386;01/10/2024;16:17:33
T01410;01/10/2024;16:17:39
T00390;01/10/2024;16:23:22
T00391;01/10/2024;16:32:54
T00726;01/10/2024;16:33:28
T00727;01/10/2024;16:40:08
T00183;01/10/2024;16:43:49
T00222;01/10/2024;16:48:01
T00075;01/10/2024;16:48:18
T00709;01/10/2024;16:50:37
T01093;01/10/2024;17:06:23
T00729;01/10/2024;17:08:40
T01057;01/10/2024;17:14:55
T01158;01/10/2024;17:21:33
T00252;01/10/2024;19:45:03
NULL;01/10/2024;09:37:47
NULL;01/10/2024;09:37:51
NULL;01/10/2024;09:54:01
NULL;01/10/2024;13:39:38
NULL;01/10/2024;14:32:34
NULL;01/10/2024;15:46:21
NULL;01/10/2024;15:47:46
NULL;01/10/2024;15:48:38
NULL;01/10/2024;15:55:29
T00390;01/10/2024;16:23:13
T00552;02/10/2024;05:19:25
T01196;02/10/2024;05:28:46
