T01039;30/09/2024;05:45:01
T01386;30/09/2024;05:45:32
T00390;30/09/2024;05:49:03
T00557;30/09/2024;05:54:03
T00709;30/09/2024;05:55:20
T01233;30/09/2024;05:56:20
T00875;30/09/2024;05:57:40
T00386;30/09/2024;05:57:50
T00602;30/09/2024;06:03:35
T01111;30/09/2024;06:05:29
T00917;30/09/2024;06:07:21
T00009;30/09/2024;06:11:51
T01122;30/09/2024;06:12:00
T00970;30/09/2024;06:12:33
T00912;30/09/2024;06:16:48
T00487;30/09/2024;06:16:52
T00918;30/09/2024;06:17:52
T01408;30/09/2024;06:19:08
T01040;30/09/2024;06:19:45
T01030;30/09/2024;06:19:57
T00529;30/09/2024;06:21:16
T01149;30/09/2024;06:21:39
T01155;30/09/2024;06:21:41
T00615;30/09/2024;06:22:27
T00881;30/09/2024;06:22:30
T00501;30/09/2024;06:23:13
T00867;30/09/2024;06:23:16
T01121;30/09/2024;06:23:38
T00649;30/09/2024;06:23:41
T00867;30/09/2024;06:23:52
T00529;30/09/2024;06:24:00
T00266;30/09/2024;06:24:55
T01224;30/09/2024;06:26:17
T00647;30/09/2024;06:26:26
T00628;30/09/2024;06:26:38
T01124;30/09/2024;06:26:52
T01182;30/09/2024;06:26:56
T00478;30/09/2024;06:27:00
T00468;30/09/2024;06:27:03
T01234;30/09/2024;06:27:08
T00904;30/09/2024;06:28:05
T01152;30/09/2024;06:28:08
T01152;30/09/2024;06:28:10
T01023;30/09/2024;06:28:11
T00561;30/09/2024;06:28:29
T00851;30/09/2024;06:28:34
T01231;30/09/2024;06:28:38
T00896;30/09/2024;06:28:55
T01220;30/09/2024;06:29:00
T00733;30/09/2024;06:30:07
T01223;30/09/2024;06:30:25
T00779;30/09/2024;06:30:32
T00963;30/09/2024;06:30:34
T01221;30/09/2024;06:30:39
T00655;30/09/2024;06:31:04
T00968;30/09/2024;06:31:09
T00931;30/09/2024;06:31:30
T00898;30/09/2024;06:31:55
T00630;30/09/2024;06:31:56
T01235;30/09/2024;06:32:19
T01090;30/09/2024;06:33:01
T01069;30/09/2024;06:33:22
T00539;30/09/2024;06:33:28
T00976;30/09/2024;06:33:43
T00944;30/09/2024;06:33:51
T01042;30/09/2024;06:34:16
T00653;30/09/2024;06:34:49
T00945;30/09/2024;06:35:32
T01113;30/09/2024;06:36:08
T00978;30/09/2024;06:36:58
T01100;30/09/2024;06:37:03
T00766;30/09/2024;06:37:06
T01019;30/09/2024;06:38:31
T00966;30/09/2024;06:38:33
T00546;30/09/2024;06:38:56
T00559;30/09/2024;06:38:58
T01076;30/09/2024;06:39:00
T00822;30/09/2024;06:39:20
T00823;30/09/2024;06:39:23
T01070;30/09/2024;06:39:37
T01099;30/09/2024;06:39:42
T00785;30/09/2024;06:39:45
T01020;30/09/2024;06:40:28
T00911;30/09/2024;06:40:46
T00787;30/09/2024;06:41:23
T01145;30/09/2024;06:41:26
T01145;30/09/2024;06:41:30
T01145;30/09/2024;06:41:31
T00723;30/09/2024;06:42:23
T00596;30/09/2024;06:42:31
T00567;30/09/2024;06:42:49
T01130;30/09/2024;06:42:52
T01112;30/09/2024;06:42:54
T01177;30/09/2024;06:42:57
T00540;30/09/2024;06:43:11
T00452;30/09/2024;06:43:30
T00508;30/09/2024;06:43:32
T00936;30/09/2024;06:43:38
T00897;30/09/2024;06:44:35
T00832;30/09/2024;06:44:41
T01095;30/09/2024;06:44:55
T01095;30/09/2024;06:44:57
T01025;30/09/2024;06:45:08
T00889;30/09/2024;06:45:10
T00597;30/09/2024;06:45:13
T00927;30/09/2024;06:45:34
T01115;30/09/2024;06:45:40
T00846;30/09/2024;06:45:52
T01047;30/09/2024;06:46:57
T00808;30/09/2024;06:47:05
T00947;30/09/2024;06:47:10
T00606;30/09/2024;06:47:16
T00864;30/09/2024;06:47:37
T01120;30/09/2024;06:47:51
T00590;30/09/2024;06:47:53
T00613;30/09/2024;06:47:58
T01026;30/09/2024;06:48:33
T00729;30/09/2024;06:49:24
T00802;30/09/2024;06:51:45
T00726;30/09/2024;06:53:35
T00726;30/09/2024;06:53:38
T00894;30/09/2024;06:53:40
T01132;30/09/2024;06:53:51
T01219;30/09/2024;06:54:43
T00486;30/09/2024;06:56:16
T00721;30/09/2024;06:56:42
T00455;30/09/2024;06:58:05
T00075;30/09/2024;06:59:23
T00253;30/09/2024;07:00:00
T00698;30/09/2024;07:08:42
T00534;30/09/2024;07:10:25
T01134;30/09/2024;07:11:45
T01128;30/09/2024;07:11:51
T01409;30/09/2024;07:28:29
T00641;30/09/2024;07:29:02
T00484;30/09/2024;07:36:20
T01135;30/09/2024;07:36:25
T01089;30/09/2024;07:42:55
T01097;30/09/2024;07:50:50
T00391;30/09/2024;07:51:34
 T01057;30/09/2024;07:53:07
T00222;30/09/2024;07:55:55
T00252;30/09/2024;07:57:57
T00727;30/09/2024;08:11:37
T01093;30/09/2024;08:16:28
T01041;30/09/2024;09:24:25
T01142;30/09/2024;09:59:53
NULL;30/09/2024;10:32:13
T01019;30/09/2024;12:02:35
T01158;30/09/2024;14:30:58
T01158;30/09/2024;14:30:59
T00552;30/09/2024;17:02:21
T01196;30/09/2024;17:59:18
NULL;30/09/2024;06:21:15
NULL;30/09/2024;06:31:00
NULL;30/09/2024;06:33:41
NULL;30/09/2024;06:33:47
NULL;30/09/2024;06:39:29
NULL;30/09/2024;06:39:37
NULL;30/09/2024;06:42:28
NULL;30/09/2024;06:53:34
NULL;30/09/2024;06:56:12
NULL;30/09/2024;06:59:53
NULL;30/09/2024;06:59:57
NULL;30/09/2024;08:16:24
NULL;30/09/2024;13:28:08
