T00183;01/10/2024;05:39:20
T01039;01/10/2024;05:47:04
T00970;01/10/2024;05:49:38
T01386;01/10/2024;05:51:55
T00386;01/10/2024;05:54:16
T00390;01/10/2024;05:58:03
T00709;01/10/2024;05:59:58
T00557;01/10/2024;06:00:44
T00649;01/10/2024;06:06:55
T00009;01/10/2024;06:08:24
T01121;01/10/2024;06:12:19
T01111;01/10/2024;06:12:58
T00875;01/10/2024;06:13:05
T00918;01/10/2024;06:15:22
T00615;01/10/2024;06:24:48
T01219;01/10/2024;06:26:32
T00647;01/10/2024;06:26:56
T00912;01/10/2024;06:27:01
T00529;01/10/2024;06:27:01
T00529;01/10/2024;06:27:04
T00912;01/10/2024;06:27:09
T00867;01/10/2024;06:28:02
T01040;01/10/2024;06:28:05
T00501;01/10/2024;06:28:07
T00867;01/10/2024;06:28:34
T00468;01/10/2024;06:29:06
T00733;01/10/2024;06:29:08
T00492;01/10/2024;06:29:27
T00889;01/10/2024;06:30:49
T00597;01/10/2024;06:30:51
T00655;01/10/2024;06:30:58
T00455;01/10/2024;06:31:40
T00266;01/10/2024;06:32:08
T00968;01/10/2024;06:33:26
T01182;01/10/2024;06:33:33
T00966;01/10/2024;06:33:53
T01041;01/10/2024;06:34:00
T01122;01/10/2024;06:34:21
T01107;01/10/2024;06:34:22
T00797;01/10/2024;06:34:27
T01152;01/10/2024;06:34:33
T01220;01/10/2024;06:34:51
T01069;01/10/2024;06:35:11
T00927;01/10/2024;06:35:29
T01124;01/10/2024;06:35:32
T01223;01/10/2024;06:35:37
T00898;01/10/2024;06:36:10
T00630;01/10/2024;06:36:13
T01113;01/10/2024;06:36:43
T00641;01/10/2024;06:36:46
T00641;01/10/2024;06:36:48
T00963;01/10/2024;06:36:53
T00851;01/10/2024;06:36:57
T01070;01/10/2024;06:37:02
T01030;01/10/2024;06:37:37
T00628;01/10/2024;06:37:55
T00881;01/10/2024;06:37:57
T00881;01/10/2024;06:38:03
T00596;01/10/2024;06:38:09
T01234;01/10/2024;06:38:13
T00478;01/10/2024;06:38:33
T00896;01/10/2024;06:38:36
T01224;01/10/2024;06:38:55
T01042;01/10/2024;06:39:07
T01047;01/10/2024;06:39:25
T01076;01/10/2024;06:39:35
T01231;01/10/2024;06:39:44
T01149;01/10/2024;06:39:49
T01019;01/10/2024;06:40:03
T01015;01/10/2024;06:40:06
T00779;01/10/2024;06:40:42
T00917;01/10/2024;06:41:04
T01135;01/10/2024;06:41:14
T01130;01/10/2024;06:41:17
T00822;01/10/2024;06:41:20
T00823;01/10/2024;06:41:23
T00602;01/10/2024;06:41:25
T00785;01/10/2024;06:41:34
T01100;01/10/2024;06:41:42
T00911;01/10/2024;06:41:53
T00897;01/10/2024;06:41:56
T00590;01/10/2024;06:41:58
T00785;01/10/2024;06:42:05
T01115;01/10/2024;06:42:07
T00613;01/10/2024;06:42:27
T00653;01/10/2024;06:42:55
T00540;01/10/2024;06:42:57
T01235;01/10/2024;06:43:44
T00787;01/10/2024;06:44:04
T00723;01/10/2024;06:44:20
T00561;01/10/2024;06:44:36
T01090;01/10/2024;06:44:40
T00487;01/10/2024;06:44:45
T01023;01/10/2024;06:44:49
T00854;01/10/2024;06:44:51
T00539;01/10/2024;06:44:57
T01145;01/10/2024;06:45:33
T00766;01/10/2024;06:45:36
T00976;01/10/2024;06:45:48
T00944;01/10/2024;06:45:51
T01018;01/10/2024;06:45:53
T00976;01/10/2024;06:45:58
T01221;01/10/2024;06:46:18
T01177;01/10/2024;06:46:50
T00546;01/10/2024;06:46:52
T00559;01/10/2024;06:46:56
T00567;01/10/2024;06:47:03
T00606;01/10/2024;06:47:20
T01155;01/10/2024;06:47:24
T00931;01/10/2024;06:47:28
T01025;01/10/2024;06:47:43
T01120;01/10/2024;06:49:19
T00945;01/10/2024;06:50:03
T00832;01/10/2024;06:50:50
T00936;01/10/2024;06:50:56
T01142;01/10/2024;06:51:01
T00808;01/10/2024;06:51:15
T00947;01/10/2024;06:51:16
T00894;01/10/2024;06:52:32
T00508;01/10/2024;06:52:51
T00452;01/10/2024;06:52:52
T00802;01/10/2024;06:53:04
T00978;01/10/2024;06:54:29
T01026;01/10/2024;06:54:57
T00904;01/10/2024;06:55:18
T00726;01/10/2024;06:55:45
T00721;01/10/2024;06:55:54
T01099;01/10/2024;06:56:11
T00864;01/10/2024;06:56:12
T01132;01/10/2024;06:56:24
T01112;01/10/2024;06:58:22
T00253;01/10/2024;06:58:28
T00486;01/10/2024;07:05:37
T01128;01/10/2024;07:07:46
T00075;01/10/2024;07:08:20
T00534;01/10/2024;07:08:48
T01134;01/10/2024;07:16:42
T00729;01/10/2024;07:21:19
T01095;01/10/2024;07:22:53
T01095;01/10/2024;07:22:55
T00391;01/10/2024;07:28:32
T01408;01/10/2024;07:31:02
T01409;01/10/2024;07:34:48
 T01057;01/10/2024;07:52:08
T01158;01/10/2024;07:58:53
T00252;01/10/2024;08:00:57
T00222;01/10/2024;08:01:15
T00727;01/10/2024;08:11:21
T01093;01/10/2024;08:25:38
T01089;01/10/2024;07:20:19
T01410;01/10/2024;09:53:36
T01097;01/10/2024;11:15:41
T00552;01/10/2024;17:40:15
T01196;01/10/2024;17:51:31
NULL;01/10/2024;05:39:11
NULL;01/10/2024;06:12:47
NULL;01/10/2024;06:12:52
NULL;01/10/2024;06:27:01
NULL;01/10/2024;06:34:17
NULL;01/10/2024;06:34:32
NULL;01/10/2024;06:34:48
NULL;01/10/2024;06:39:17
NULL;01/10/2024;06:49:50
NULL;01/10/2024;06:49:57
NULL;01/10/2024;06:52:30
NULL;01/10/2024;06:53:02
NULL;01/10/2024;12:53:32
NULL;01/10/2024;17:51:26
NULL;01/10/2024;17:51:29
