 T01057;26/02/2025;06:52:01
T00009;26/02/2025;06:12:16
T00009;26/02/2025;06:12:19
T00075;26/02/2025;06:26:48
T00183;26/02/2025;05:42:03
T00222;26/02/2025;07:51:15
T00252;26/02/2025;08:27:51
T00253;26/02/2025;06:53:23
T00266;26/02/2025;06:33:11
T00386;26/02/2025;05:55:21
T00390;26/02/2025;05:45:32
T00391;26/02/2025;07:17:31
T00452;26/02/2025;06:28:07
T00455;26/02/2025;06:44:48
T00468;26/02/2025;06:32:04
T00470;26/02/2025;06:42:29
T00478;26/02/2025;06:32:28
T00484;26/02/2025;08:04:55
T00486;26/02/2025;06:48:46
T00487;26/02/2025;06:54:03
T00492;26/02/2025;06:46:51
T00501;26/02/2025;06:36:59
T00501;26/02/2025;06:39:23
T00508;26/02/2025;06:28:06
T00529;26/02/2025;06:25:25
T00532;26/02/2025;06:57:58
T00534;26/02/2025;06:58:33
T00539;26/02/2025;06:34:54
T00539;26/02/2025;06:34:55
T00540;26/02/2025;06:42:36
T00546;26/02/2025;06:42:49
T00552;26/02/2025;16:27:56
T00557;26/02/2025;05:57:41
T00559;26/02/2025;06:43:07
T00561;26/02/2025;06:35:28
T00590;26/02/2025;06:44:16
T00596;26/02/2025;11:48:29
T00597;26/02/2025;06:58:54
T00602;26/02/2025;06:42:19
T00613;26/02/2025;06:35:32
T00615;26/02/2025;06:45:29
T00628;26/02/2025;06:14:57
T00630;26/02/2025;06:38:35
T00641;26/02/2025;06:28:41
T00647;26/02/2025;06:25:47
T00649;26/02/2025;05:57:50
T00653;26/02/2025;06:45:19
T00655;26/02/2025;06:28:12
T00674;26/02/2025;06:40:30
T00709;26/02/2025;05:53:12
T00721;26/02/2025;06:57:40
T00723;26/02/2025;06:41:10
T00726;26/02/2025;06:39:42
T00726;26/02/2025;06:39:51
T00727;26/02/2025;08:11:59
T00729;26/02/2025;07:06:58
T00733;26/02/2025;06:36:52
T00766;26/02/2025;06:40:25
T00779;26/02/2025;06:32:45
T00785;26/02/2025;06:45:53
T00787;26/02/2025;06:42:14
T00797;26/02/2025;06:34:58
T00808;26/02/2025;06:45:39
T00822;26/02/2025;06:41:12
T00823;26/02/2025;06:41:15
T00832;26/02/2025;06:52:45
T00851;26/02/2025;06:33:56
T00854;26/02/2025;06:50:22
T00861;26/02/2025;06:30:59
T00864;26/02/2025;06:44:51
T00867;26/02/2025;06:28:59
T00867;26/02/2025;06:34:25
T00868;26/02/2025;06:44:56
T00869;26/02/2025;06:41:22
T00870;26/02/2025;06:40:59
T00876;26/02/2025;06:38:00
T00881;26/02/2025;06:53:39
T00883;26/02/2025;06:50:03
T00888;26/02/2025;06:38:07
T00889;26/02/2025;06:58:53
T00894;26/02/2025;06:50:39
T00895;26/02/2025;06:42:32
T00897;26/02/2025;07:00:39
T00898;26/02/2025;06:38:32
T00904;26/02/2025;06:20:33
T00905;26/02/2025;06:24:56
T00905;26/02/2025;06:25:55
T00907;26/02/2025;06:23:57
T00907;26/02/2025;06:23:58
T00911;26/02/2025;06:40:27
T00912;26/02/2025;06:29:34
T00916;26/02/2025;06:38:41
T00917;26/02/2025;06:41:01
T00927;26/02/2025;06:25:52
T00947;26/02/2025;06:45:42
T00976;26/02/2025;06:44:46
T00978;26/02/2025;06:35:38
T01037;26/02/2025;06:47:29
T01089;26/02/2025;07:57:09
T01090;26/02/2025;08:10:04
T01093;26/02/2025;08:06:39
T01120;26/02/2025;06:52:16
T01135;26/02/2025;06:26:57
T01155;26/02/2025;06:52:51
T01190;26/02/2025;06:47:32
T01196;26/02/2025;17:46:44
T01231;26/02/2025;06:35:23
T01386;26/02/2025;05:56:01
T01410;26/02/2025;07:09:06
T01411;26/02/2025;06:51:34
T01412;26/02/2025;08:06:30
